@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
343875,South Central,neighborhood,37183,1,2,Raleigh,637,8/19/2019,85000,35.768999,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/South-Central/r_343875/', 'forSaleByOwner': 'http://www.zillow.com/south-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/south-central-raleigh-nc/'}",-78.620846,5227,NC,1111 Upchurch St,61818,2018,4,SingleFamily,1967,131671,"115,400",27610,6392357
54047,Raleigh,city,37183,3,4,Raleigh,3861,9/30/2019,460000,35.915333,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.669302,41382,NC,701 Lanham Pl,475394,2018,15,SingleFamily,1981,468900,"221,100",27615,6464005
54047,Raleigh,city,37183,4,4,Raleigh,4225,8/10/2018,685000,35.665252,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.708742,26136,NC,3745 Westbury Lake Dr,537831,2018,10,SingleFamily,2005,699902,"221,100",27603,65343339
343869,Northeast Raleigh,neighborhood,37183,3,3,Raleigh,1378,8/4/2000,124000,35.807864,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.558429,5662,NC,4500 Liverpool Ln,149065,2018,5,SingleFamily,1989,185001,"171,900",27604,6505964
343868,Northwest Raleigh,neighborhood,37183,5,5,Raleigh,4395,1/31/2008,675000,35.828353,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.714248,16988,NC,4401 Harbourgate Dr,703677,2018,13,SingleFamily,2004,713397,"276,500",27612,67553790
184194,Six Forks,neighborhood,37183,3,4,Raleigh,2190,10/29/2015,405000,35.842373,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Six-Forks/r_184194/', 'forSaleByOwner': 'http://www.zillow.com/six-forks-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/six-forks-raleigh-nc/'}",-78.649078,13503,NC,4512 Wilkes St,402648,2018,9,SingleFamily,1963,499503,"391,700",27609,6435724
54047,Raleigh,city,37183,4,4,Raleigh,4234,6/28/2016,627500,35.931361,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.739137,36590,NC,5513 Brook Edge Dr,452816,2018,,SingleFamily,2008,665394,"221,100",27613,89500736
343870,Falls of Neuse,neighborhood,37183,3,3,Raleigh,1872,4/7/2017,313000,35.843307,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Falls-of-Neuse/r_343870/', 'forSaleByOwner': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/'}",-78.63153,12632,NC,405 Compton Rd,247907,2018,9,SingleFamily,1963,410001,"295,500",27609,6435352
184194,Six Forks,neighborhood,37183,6,6,Raleigh,3183,12/8/2015,375000,35.849801,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Six-Forks/r_184194/', 'forSaleByOwner': 'http://www.zillow.com/six-forks-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/six-forks-raleigh-nc/'}",-78.651453,13068,NC,1000 Manchester Dr,369527,2018,11,SingleFamily,1984,624900,"391,700",27609,6414993
343870,Falls of Neuse,neighborhood,37183,2,4,Raleigh,2160,4/15/2016,11000,35.840721,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Falls-of-Neuse/r_343870/', 'forSaleByOwner': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/'}",-78.637986,22215,NC,201 Lynwood Ln,387443,2018,6,SingleFamily,1960,550001,"295,500",27609,6378408
