@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
343868,Northwest Raleigh,neighborhood,37183,3,5,Raleigh,2713,4/30/2003,215000,35.912625,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.746485,10454,NC,9400 Miranda Dr,301064,2018,13,SingleFamily,1996,388263,"276,500",27617,6548251
54047,Raleigh,city,37183,2,3,Raleigh,1634,9/29/2017,185000,35.686744,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.527285,20037,NC,7732 Rock Quarry Rd,170136,2018,,SingleFamily,1964,210000,"221,100",27610,6428402
343875,South Central,neighborhood,37183,2,3,Raleigh,1185,,,35.769744,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/South-Central/r_343875/', 'forSaleByOwner': 'http://www.zillow.com/south-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/south-central-raleigh-nc/'}",-78.622226,5227,NC,711 Coleman St,72797,2018,5,SingleFamily,1964,182052,"115,400",27610,6383384
343869,Northeast Raleigh,neighborhood,,4,3,Raleigh,1531,,,35.810891,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.589848,12196,NC,3001 Dogwood Dr,,,,SingleFamily,2019,247852,"171,900",27604,2082844993
54047,Raleigh,city,37183,3,3,Raleigh,1880,7/30/1992,115500,35.903396,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.683593,41382,NC,8404 Camellia Dr,228478,2018,7,SingleFamily,1967,300000,"221,100",27613,6401987
343875,South Central,neighborhood,37183,3,3,Raleigh,2136,6/13/2017,384000,35.776548,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/South-Central/r_343875/', 'forSaleByOwner': 'http://www.zillow.com/south-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/south-central-raleigh-nc/'}",-78.619706,6534,NC,1215 E Martin St,415504,2018,9,SingleFamily,2017,535048,"115,400",27610,6424561
54047,Raleigh,city,37183,4,5,Raleigh,4335,8/2/2019,430000,35.666237,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.669934,10890,NC,114 Challenge Rd,376958,2018,10,SingleFamily,2001,432928,"221,100",27603,50114245
54047,Raleigh,city,37183,6,5,Raleigh,5443,12/5/2018,1714800,35.914513,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.622909,54014,NC,1541 Grand Willow Way,346800,2018,,SingleFamily,2019,1790579,"221,100",27614,215491427
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2257,,,35.929093,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.740354,8712,NC,12220 Breton Ln,265137,2018,7,SingleFamily,1996,363206,"276,500",27613,6545878
54047,Raleigh,city,37183,6,5,Raleigh,5362,10/7/2015,740000,35.931516,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.616299,106286,NC,10774 Trego Trl,740852,2018,10,SingleFamily,1985,885182,"221,100",27614,6470731
343867,East Raleigh,neighborhood,37183,2,3,Raleigh,1448,1/14/2016,250000,35.79058,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.602804,10018,NC,2411 Boswell Rd,245585,2018,7,SingleFamily,1956,348539,"146,700",27610,6409559
54047,Raleigh,city,37183,4,4,Raleigh,3880,3/15/2016,585000,35.979174,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.675722,50965,NC,1005 Old Mill Creek Ct,536821,2018,9,SingleFamily,2002,587850,"221,100",27614,65331863
343862,Five Points,neighborhood,37183,3,3,Raleigh,2776,11/20/2018,250000,35.802738,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Five-Points/r_343862/', 'forSaleByOwner': 'http://www.zillow.com/five-points-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/five-points-raleigh-nc/'}",-78.635439,5662,NC,1514 Sunrise Ave,183928,2018,3,SingleFamily,2019,717316,"411,300",27608,6435220
270318,North Raleigh,neighborhood,37183,4,4,Raleigh,2969,6/30/2016,95000,35.957074,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.554666,5227,NC,12608 Port Chester Ct,90000,2018,8,SingleFamily,2019,447781,"270,100",27614,50115150
