,@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid,cluster
1455,51297,Cary,city,37183.0,3.0,5.0,Cary,3456.0,6/27/2013,411000.0,35.807637,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.879114,7405.0,NC,3181 Misty Rise Dr,459338.0,2018.0,12.0,SingleFamily,2013.0,504131.0,"336,400",27519,119340128,35
1456,51297,Cary,city,37183.0,2.0,3.0,Cary,1309.0,10/16/2019,245000.0,35.77827,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.802805,16117.0,NC,1216 Old Apex Rd,163450.0,2018.0,6.0,SingleFamily,1975.0,245112.0,"336,400",27513,6445901,63
1457,51297,Cary,city,37183.0,3.0,3.0,Cary,1689.0,3/11/2015,210000.0,35.792587,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.802908,1306.0,NC,716 Davenbury Way,217978.0,2018.0,,SingleFamily,2015.0,275000.0,"336,400",27513,124269254,12
1458,51297,Cary,city,37183.0,3.0,3.0,Cary,2600.0,10/16/2019,380000.0,35.782092,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.815404,7405.0,NC,404 Byrams Ford Dr,336204.0,2018.0,11.0,SingleFamily,2005.0,380175.0,"336,400",27513,67555501,12
1459,51297,Cary,city,37183.0,3.0,5.0,Cary,2596.0,5/25/2006,265000.0,35.754816999999996,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.77314799999999,20908.0,NC,110 Farren Ct,277765.0,2018.0,8.0,SingleFamily,1985.0,358000.0,"336,400",27511,6478740,28
1460,51297,Cary,city,37183.0,3.0,4.0,Cary,2787.0,10/15/2019,356000.0,35.784777000000005,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.84622900000001,9583.0,NC,106 Yorkhill Dr,343872.0,2018.0,7.0,SingleFamily,1994.0,356197.0,"336,400",27513,6540228,37
1461,816437,Wellsley,neighborhood,37183.0,4.0,5.0,Cary,3004.0,10/15/2019,497500.0,35.782579,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Wellsley/r_816437/', 'forSaleByOwner': 'http://www.zillow.com/wellsley-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/wellsley-cary-nc/'}",-78.862083,14505.0,NC,237 Parkgate Dr,413820.0,2018.0,9.0,SingleFamily,1996.0,497775.0,,27519,6549467,37
1462,816386,Weldon Ridge,neighborhood,37183.0,5.0,4.0,Cary,4490.0,10/15/2019,520000.0,35.804679,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Weldon-Ridge/r_816386/', 'forSaleByOwner': 'http://www.zillow.com/weldon-ridge-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/weldon-ridge-cary-nc/'}",-78.912987,11325.0,NC,308 Powers Ferry Rd,506092.0,2018.0,,SingleFamily,2006.0,520287.0,,27519,68320741,49
1463,816400,Lochmere,neighborhood,37183.0,4.0,5.0,Cary,3303.0,7/1/2003,314000.0,35.741234999999996,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Lochmere/r_816400/', 'forSaleByOwner': 'http://www.zillow.com/lochmere-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/lochmere-cary-nc/'}",-78.758161,17424.0,NC,112 Ashwyn Ct,365057.0,2018.0,11.0,SingleFamily,1995.0,444087.0,,27518,6543135,28
1464,51297,Cary,city,,4.0,3.0,Cary,1990.0,,,35.795151000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.769509,,NC,709 Rosefield Dr,,,,SingleFamily,,335369.0,"336,400",27513,2082370243,2
1465,51297,Cary,city,,4.0,3.0,Cary,1990.0,,,35.795072,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.769885,,NC,309 Page Square Dr,,,,SingleFamily,,335457.0,"336,400",27513,2082370242,2
1466,51297,Cary,city,,4.0,3.0,Cary,1990.0,,,35.795046,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.769681,,NC,703 Rosefield Dr,,,,SingleFamily,2019.0,346586.0,"336,400",27513,2082370241,2
